promotion_id,promo_name,promo_type,discount_pct,min_qty,start_date,end_date
49,Winter Wellness Sale 2023,Seasonal,0.1,1,2023-11-04,2023-12-04
50,Fresh Produce Tuesday 2023,Loyalty,0.1,1,2023-01-06,2023-01-07
51,Double Points Weekend 2023,Loyalty,0.05,1,2023-01-07,2023-01-09
52,Eid Mubarak Special 2023,Festival,0.15,1,2023-03-19,2023-03-24
53,Christmas & New Year Deal 2023,Festival,0.15,1,2023-12-14,2023-12-24
54,Raksha Bandhan Sweets Sale 2023,Festival,0.12,1,2023-07-07,2023-07-12
55,Diwali Dhamaka Sale 2024,Festival,0.2,1,2024-10-14,2024-10-24
56,Holi Rang Offers 2024,Festival,0.15,1,2024-02-15,2024-02-22
57,Ganesh Utsav Special 2024,Festival,0.12,1,2024-08-08,2024-08-13
58,Navratri Fasting Deals 2024,Festival,0.18,1,2024-09-08,2024-09-17
59,Republic Day Sale 2024,National,0.1,1,2024-01-17,2024-01-20
60,Independence Day Sale 2024,National,0.1,1,2024-08-11,2024-08-14
61,Weekend Bonanza 2024,Weekend,0.08,2,2024-01-03,2024-01-05
62,Buy 2 Get 10% Off 2024,Bundle,0.1,2,2024-01-14,2024-02-13
63,Month-End Clearance 2024,Clearance,0.15,1,2024-01-12,2024-01-17
64,New Year Celebration 2024,Festival,0.18,1,2024-12-10,2024-12-15
65,Summer Cool Drinks Sale 2024,Seasonal,0.12,2,2024-04-14,2024-05-29
66,Monsoon Snacks Fiesta 2024,Seasonal,0.08,2,2024-07-18,2024-08-17
67,Winter Wellness Sale 2024,Seasonal,0.1,1,2024-11-07,2024-12-07
68,Fresh Produce Tuesday 2024,Loyalty,0.1,1,2024-01-08,2024-01-09
69,Double Points Weekend 2024,Loyalty,0.05,1,2024-01-04,2024-01-06
70,Eid Mubarak Special 2024,Festival,0.15,1,2024-03-13,2024-03-18
71,Christmas & New Year Deal 2024,Festival,0.15,1,2024-12-08,2024-12-18
72,Raksha Bandhan Sweets Sale 2024,Festival,0.12,1,2024-07-07,2024-07-12
